Id,SalePrice
0,129317.04525301879
1,153986.0134488049
2,184007.81638637919
3,189167.19995553192
4,198652.76730768516
5,184373.86185507692
6,169380.98891289852
7,175552.51853956722
8,187237.8256870004
9,132924.48304758663
10,206937.2042449569
11,102356.0791992428
12,108674.97019978393
13,152951.42277084148
14,127426.05828046265
15,357410.6013670313
16,250260.1746458599
17,305184.4231026192
18,306231.84528278554
19,424814.9042363672
20,296241.7271718175
21,208080.5061592162
22,189821.75624462066
23,180079.80985923708
24,186470.81625533316
25,199067.1735469833
26,303780.125222104
27,241522.69359794195
28,206394.39832360283
29,226490.99809076995
30,197951.8290255044
31,103477.44335924888
32,186968.19372893134
33,293780.7711671923
34,279220.86270620255
35,232830.5613187875
36,181800.6073452004
37,164610.2072580796
38,163434.65301984194
39,165962.9738686105
40,170712.4641184598
41,174383.9676032371
42,276248.65371234587
43,228498.35017640228
44,217641.24900869417
45,188160.53689863638
46,238159.7513400592
47,192438.33058008365
48,158686.86943224183
49,150673.61731341507
50,153051.5747675019
51,172224.5973855373
52,148952.52705686542
53,168113.84230495914
54,191684.96226308885
55,154379.09951614155
56,155130.269614455
57,140040.0964739969
58,226571.49834844578
59,138821.38956509045
60,142964.40460629645
61,163252.62910340526
62,113959.1591444841
63,125450.46780618638
64,127407.86570078888
65,126309.29461583168
66,116714.60831719066
67,129527.3297025651
68,145242.93455423115
69,168389.35826606848
70,139493.4336445538
71,108727.99514498781
72,144099.85767050151
73,120385.2478948686
74,151194.5979524034
75,121841.45576323575
76,107008.5001987151
77,166154.31887773177
78,202185.33929427285
79,129510.13594397143
80,141498.5669917066
81,135542.71134077274
82,176889.8077491836
83,93659.03054989748
84,107716.85438048605
85,126912.17784918344
86,135474.2235643941
87,125653.61320361114
88,118519.91158330998
89,136356.09701718547
90,119586.5956011471
91,146809.98470786485
92,151319.13291476367
93,119821.08663714166
94,170083.92403169587
95,109763.08054783642
96,114901.64699889049
97,107617.87597980708
98,124051.54294859237
99,144406.20359970865
100,148029.00084549052
101,131192.6519007235
102,124373.12638241352
103,166468.96712088241
104,156448.70310301424
105,214753.73464885785
106,96996.26673246847
107,217710.7875172361
108,157156.78202510887
109,147316.86743289023
110,136207.05633770293
111,141864.38800099294
112,231255.40102510352
113,138736.10146232983
114,216100.90227661512
115,243065.99489132836
116,200166.4944908331
117,148305.53550675395
118,149313.50746878047
119,187489.9390650736
120,148051.21044304266
121,127699.57020348059
122,315042.3169584649
123,237519.53926556502
124,145796.55507428446
125,93817.27813106682
126,114281.45627909846
127,148555.9080754452
128,110192.62595549673
129,134415.76201223632
130,109930.23514108786
131,129533.47864745138
132,127419.7659452099
133,138286.45384773402
134,133271.1284822089
135,205111.63011351466
136,170268.77474209497
137,191304.46504177002
138,193813.43158414046
139,193777.02273738853
140,92486.30946055529
141,118132.55085915739
142,108534.18253699536
143,271370.1467014236
144,257617.0280807706
145,163078.92775196896
146,177966.23161216002
147,226619.74210459273
148,194766.70376212234
149,168014.3613376822
150,149097.5064971199
151,190811.4395346844
152,177070.27678045208
153,134078.01110879195
154,102792.5746437962
155,95482.02178386234
156,101382.14534800399
157,123971.09339973822
158,143994.02426479934
159,181761.59000097093
160,149026.62776714144
161,144201.11938817974
162,264713.5272589606
163,223510.990524191
164,131176.1380484187
165,166785.12665837843
166,186327.37990398362
167,271223.69653775485
168,180696.38625980058
169,301689.9678340796
170,199341.84621636037
171,233073.34599696033
172,183068.59041628471
173,191005.02014925596
174,186589.05684046954
175,164438.44271960997
176,180229.9429696334
177,204384.12873273488
178,174945.59660687073
179,227017.54599128597
180,174388.4405036595
181,223864.9966079277
182,224576.15787236084
183,221850.8765177337
184,188470.39797024048
185,157612.18900323045
186,164656.49878149483
187,141284.05334983734
188,138181.69300727212
189,127749.44046825748
190,125835.14185086658
191,102516.34022610268
192,104293.48898865703
193,157809.84539031654
194,151948.97088227412
195,148986.68209379175
196,156114.5741172297
197,156987.17090641242
198,129440.61819861461
199,161881.48289787082
200,416508.0689740701
201,338610.5987530276
202,355287.35779850004
203,408732.9722967085
204,312165.2747784127
205,336808.47782861127
206,327832.8872543739
207,329904.6793504953
208,295045.29811169213
209,351077.16543965176
210,262168.3142500331
211,392975.8151310364
212,290381.2017849043
213,250763.6326159266
214,197714.2299660066
215,200256.28472188386
216,207856.02285300384
217,417063.3260969036
218,363604.07769048127
219,306559.5984609551
220,254075.32164037164
221,309308.7761052627
222,192704.090013795
223,182832.61281061533
224,182707.6326188033
225,183594.40404545135
226,179910.88678651032
227,196999.06888391144
228,196400.67055751893
229,195067.1862897896
230,188413.50203702704
231,266890.59394347674
232,181379.69101068578
233,184795.7206428867
234,173130.14548383723
235,266035.41871197434
236,170344.68701526753
237,313610.07117511646
238,306281.0849152934
239,242445.5002328243
